Year,Current Course,Technical Skill,Programming Languages,Rating(technical and programming),Projects,Career Interest,Challenges,Support-required,Student-Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist,Soft Skills,Rating(soft skills),Score,Recommended Job
2nd,MBA,IoT Applications,Python Go Rust,5,No,Cybersecurity Analyst,Team collaboration,Internships,18,9,13,20,17,11,16,17,Presentation Skills Public Speaking,5,141,Data Scientist
3rd,MCA,Data Visualization,C# .NET SQL,5,Yes,Business Analyst,Presentation skills,Mentorship programs,20,6,9,12,18,12,16,5,Conflict Resolution Team Leadership,3,114,Cybersecurity Analyst
1st,MBA,Penetration Testing,PHP JavaScript MySQL,5,Yes,Business Analyst,Presentation skills,Online resources,19,5,11,18,18,16,11,18,Strategic Thinking Analytical Skills,3,132,AI Engineer
4th,MCA,Cloud Infrastructure,Python R SQL,2,No,Cloud Architect,Presentation skills,Online resources,15,8,10,15,20,12,12,18,Presentation Skills Public Speaking,3,120,Cybersecurity Analyst
3rd,B.Tech IT,Cloud Security,Python Go Rust,5,No,AI Engineer,Time management,Peer groups,18,5,5,12,13,10,14,12,Conflict Resolution Team Leadership,3,105,Business Analyst
3rd,B.Sc Computer Science,Deep Learning,Scala Java Python,5,Yes,Business Analyst,Time management,Peer groups,14,16,13,19,20,17,20,10,Communication Adaptability Problem-Solving,2,143,Data Scientist
3rd,B.Tech IT,Cloud Security,MATLAB Python C,1,Yes,Business Analyst,Interview anxiety,Internships,11,7,15,15,11,18,19,8,Strategic Thinking Analytical Skills,1,108,Cybersecurity Analyst
1st,MBA,DevOps,C# .NET SQL,2,Yes,Business Analyst,Time management,Online resources,15,13,16,16,12,8,11,20,Leadership Creativity Critical-Thinking,4,123,Cybersecurity Analyst
2nd,B.Tech CSE,Data Engineering,C# .NET SQL,2,No,Business Analyst,Interview anxiety,Peer groups,16,17,13,20,13,13,18,14,Decision-Making Flexibility Innovation,2,132,AI Engineer
2nd,M.Sc Data Science,IoT Applications,Python Java C++,5,No,Cybersecurity Analyst,Time management,Mentorship programs,15,12,20,10,19,14,11,7,Decision-Making Flexibility Innovation,2,122,Cybersecurity Analyst
3rd,M.Sc Data Science,Blockchain Development,R SAS Python,3,No,Data Scientist,Lack of resources,Mentorship programs,8,7,6,18,19,20,10,14,Decision-Making Flexibility Innovation,1,110,Cybersecurity Analyst
1st,M.Sc Data Science,NLP,PHP JavaScript MySQL,3,Yes,Data Scientist,Presentation skills,Workshops,16,5,16,18,8,14,18,19,Collaboration Empathy Teamwork,2,124,Software Engineer
3rd,B.Sc Computer Science,Penetration Testing,Python R SQL,1,Yes,AI Engineer,Procrastination,Workshops,13,15,13,19,15,19,19,15,Communication Adaptability Problem-Solving,5,140,Cloud Architect
2nd,MCA,Data Visualization,JavaScript TypeScript Python,5,No,Cybersecurity Analyst,Interview anxiety,Mentorship programs,16,20,18,14,18,8,15,10,Communication Adaptability Problem-Solving,4,137,Data Scientist
1st,B.Tech CSE,IoT Applications,Scala Java Python,4,Yes,Software Engineer,Procrastination,Workshops,8,20,6,11,13,14,14,6,Strategic Thinking Analytical Skills,5,110,Cybersecurity Analyst
4th,MCA,Data Engineering,Python Go Rust,4,No,Business Analyst,Time management,Peer groups,12,10,19,16,15,12,16,7,Communication Adaptability Problem-Solving,5,125,Software Engineer
1st,B.Tech CSE,Mobile App Development,Julia Python R,4,No,Software Engineer,Presentation skills,Workshops,15,7,6,10,10,16,15,15,Leadership Creativity Critical-Thinking,3,108,Cybersecurity Analyst
1st,B.Sc Computer Science,Cloud Security,C# .NET SQL,1,No,Software Engineer,Interview anxiety,Online resources,14,9,7,17,19,10,14,8,Presentation Skills Public Speaking,3,106,Cybersecurity Analyst
1st,B.Tech CSE,Blockchain Development,Scala Java Python,3,Yes,AI Engineer,Procrastination,Workshops,20,18,5,15,18,10,15,8,Decision-Making Flexibility Innovation,1,117,Cybersecurity Analyst
4th,MCA,Penetration Testing,Scala Java Python,5,Yes,AI Engineer,Time management,Online resources,13,12,6,19,8,18,11,6,Strategic Thinking Analytical Skills,3,109,Cybersecurity Analyst
3rd,M.Sc Data Science,Business Intelligence,C# .NET SQL,5,Yes,Business Analyst,Presentation skills,Workshops,19,12,19,20,13,17,11,10,Presentation Skills Public Speaking,1,133,Cloud Architect
4th,MBA,Computer Vision,Python Go Rust,5,No,Business Analyst,Lack of resources,Mentorship programs,9,14,9,17,14,15,20,11,Time-Management Resilience Negotiation,5,129,Cloud Architect
3rd,MBA,Full Stack Development,Python Java C++,2,Yes,Business Analyst,Time management,Workshops,10,5,18,15,12,18,15,14,Emotional Intelligence Active Listening,3,117,Software Engineer
2nd,MCA,Penetration Testing,Scala Java Python,2,Yes,AI Engineer,Time management,Peer groups,18,16,6,17,10,9,10,14,Communication Adaptability Problem-Solving,4,112,Software Engineer
1st,B.Sc Computer Science,Network Security,Python R SQL,4,No,Software Engineer,Time management,Peer groups,15,16,5,20,16,17,12,14,Emotional Intelligence Active Listening,5,133,Data Scientist
4th,B.Tech IT,Cloud Infrastructure,R SAS Python,2,Yes,Business Analyst,Presentation skills,Online resources,8,7,5,17,18,20,19,6,Collaboration Empathy Teamwork,5,114,Software Engineer
1st,B.Sc Computer Science,IoT Applications,PHP JavaScript MySQL,5,No,Cloud Architect,Time management,Mentorship programs,8,11,9,18,12,15,14,17,Communication Adaptability Problem-Solving,5,124,Cybersecurity Analyst
2nd,B.Sc Computer Science,Embedded Systems,Julia Python R,5,Yes,Cloud Architect,Time management,Internships,19,15,12,13,9,19,19,9,Emotional Intelligence Active Listening,3,131,Cloud Architect
2nd,M.Sc Data Science,Cloud Security,Julia Python R,5,No,Business Analyst,Interview anxiety,Peer groups,15,12,17,13,14,20,14,19,Conflict Resolution Team Leadership,5,144,Data Scientist
1st,MCA,Deep Learning,Python Java C++,4,No,Cybersecurity Analyst,Interview anxiety,Peer groups,10,19,10,17,8,17,18,18,Emotional Intelligence Active Listening,4,133,Data Scientist
4th,M.Sc Data Science,Full Stack Development,Python R SQL,1,No,Business Analyst,Procrastination,Workshops,18,17,12,14,20,17,18,9,Collaboration Empathy Teamwork,5,137,AI Engineer
1st,B.Sc Computer Science,Cloud Infrastructure,Java Kotlin Swift,2,No,Business Analyst,Team collaboration,Workshops,9,20,12,12,10,13,10,10,Leadership Creativity Critical-Thinking,2,104,Business Analyst
2nd,MBA,Network Security,Julia Python R,2,Yes,Data Scientist,Team collaboration,Online resources,18,5,16,10,19,20,12,20,Presentation Skills Public Speaking,1,126,AI Engineer
3rd,M.Sc Data Science,AI Fundamentals,Scala Java Python,4,Yes,Business Analyst,Presentation skills,Workshops,18,13,20,19,19,15,19,14,Decision-Making Flexibility Innovation,3,151,AI Engineer
2nd,B.Sc Computer Science,Data Visualization,MATLAB Python C,3,Yes,Business Analyst,Interview anxiety,Mentorship programs,19,17,16,12,9,10,12,6,Time-Management Resilience Negotiation,5,117,Software Engineer
1st,B.Sc Computer Science,Embedded Systems,Python Java C++,2,Yes,AI Engineer,Interview anxiety,Mentorship programs,18,15,16,20,17,11,15,18,Leadership Creativity Critical-Thinking,2,138,Data Scientist
1st,MBA,Penetration Testing,Java Kotlin Swift,2,Yes,AI Engineer,Procrastination,Online resources,12,7,9,11,11,11,16,15,Communication Adaptability Problem-Solving,4,104,Business Analyst
2nd,MCA,Blockchain Development,Julia Python R,2,No,Software Engineer,Team collaboration,Mentorship programs,16,8,19,15,20,15,17,17,Time-Management Resilience Negotiation,1,133,Data Scientist
4th,MBA,DevOps,R SAS Python,2,No,Software Engineer,Team collaboration,Workshops,20,15,9,20,13,11,19,5,Collaboration Empathy Teamwork,3,122,Software Engineer
2nd,M.Sc Data Science,DevOps,Python R SQL,5,Yes,Cloud Architect,Time management,Mentorship programs,16,7,13,12,11,12,20,12,Emotional Intelligence Active Listening,4,121,Cybersecurity Analyst
2nd,MCA,Penetration Testing,Python Java C++,1,Yes,Software Engineer,Team collaboration,Internships,20,19,13,12,14,20,17,14,Time-Management Resilience Negotiation,4,139,Data Scientist
3rd,MBA,Business Intelligence,PHP JavaScript MySQL,4,Yes,Cloud Architect,Lack of resources,Internships,12,15,9,18,8,15,15,14,Emotional Intelligence Active Listening,1,116,Cybersecurity Analyst
3rd,M.Sc Data Science,Blockchain Development,MATLAB Python C,1,Yes,Cybersecurity Analyst,Presentation skills,Peer groups,19,6,11,15,15,9,19,11,Presentation Skills Public Speaking,5,117,Cybersecurity Analyst
2nd,MBA,Business Intelligence,Python Java C++,4,Yes,Cybersecurity Analyst,Interview anxiety,Peer groups,13,13,10,17,8,12,10,10,Decision-Making Flexibility Innovation,2,105,Business Analyst
2nd,B.Tech CSE,DevOps,C# .NET SQL,3,No,Cybersecurity Analyst,Interview anxiety,Workshops,14,11,10,18,20,19,11,6,Strategic Thinking Analytical Skills,2,119,Cybersecurity Analyst
3rd,B.Tech CSE,Penetration Testing,Python Java C++,4,Yes,AI Engineer,Time management,Mentorship programs,16,13,19,11,16,12,19,10,Leadership Creativity Critical-Thinking,1,126,Data Scientist
3rd,MCA,Data Visualization,Julia Python R,4,No,AI Engineer,Lack of resources,Peer groups,10,9,10,16,16,8,18,6,Decision-Making Flexibility Innovation,5,111,Cybersecurity Analyst
1st,B.Sc Computer Science,Cloud Infrastructure,Julia Python R,3,Yes,AI Engineer,Team collaboration,Workshops,19,12,12,10,14,19,10,18,Time-Management Resilience Negotiation,4,128,Data Scientist
3rd,MCA,Network Security,Python Java C++,2,No,Cloud Architect,Lack of resources,Workshops,13,18,15,19,11,14,18,17,Leadership Creativity Critical-Thinking,5,139,AI Engineer
1st,M.Sc Data Science,Full Stack Development,Java Kotlin Swift,5,Yes,Data Scientist,Presentation skills,Internships,15,17,13,17,19,10,12,12,Collaboration Empathy Teamwork,2,129,Data Scientist
3rd,MBA,AI Fundamentals,Python Java C++,3,No,Cybersecurity Analyst,Time management,Internships,20,15,8,16,8,13,15,13,Time-Management Resilience Negotiation,2,118,Software Engineer
4th,B.Tech IT,Mobile App Development,PHP JavaScript MySQL,1,No,AI Engineer,Lack of resources,Online resources,10,20,12,12,16,8,10,16,Decision-Making Flexibility Innovation,1,108,Software Engineer
2nd,MCA,NLP,Scala Java Python,1,No,Cybersecurity Analyst,Interview anxiety,Online resources,10,19,12,11,15,16,17,11,Conflict Resolution Team Leadership,4,121,Software Engineer
4th,B.Tech CSE,Embedded Systems,Python Go Rust,1,Yes,Business Analyst,Time management,Online resources,14,6,9,20,20,10,15,14,Collaboration Empathy Teamwork,5,120,Software Engineer
1st,M.Sc Data Science,NLP,Python Java C++,1,Yes,Data Scientist,Procrastination,Peer groups,14,20,18,20,9,11,16,13,Strategic Thinking Analytical Skills,5,133,Cloud Architect
2nd,B.Sc Computer Science,Blockchain Development,Python R SQL,4,Yes,Business Analyst,Lack of resources,Mentorship programs,8,9,16,17,11,8,16,19,Strategic Thinking Analytical Skills,2,116,Cybersecurity Analyst
1st,M.Sc Data Science,IoT Applications,Python Java C++,1,No,Cybersecurity Analyst,Presentation skills,Internships,18,20,16,13,19,19,20,10,Communication Adaptability Problem-Solving,3,143,Cloud Architect
2nd,B.Tech IT,Embedded Systems,Python R SQL,1,Yes,Business Analyst,Team collaboration,Peer groups,15,14,16,15,10,14,17,18,Collaboration Empathy Teamwork,4,129,Data Scientist
1st,B.Tech IT,Deep Learning,Julia Python R,2,Yes,Cloud Architect,Time management,Online resources,20,15,19,19,15,19,16,18,Conflict Resolution Team Leadership,5,155,AI Engineer
3rd,MCA,Data Engineering,C# .NET SQL,3,No,Data Scientist,Procrastination,Mentorship programs,17,11,17,14,17,8,18,18,Emotional Intelligence Active Listening,5,136,Data Scientist
2nd,B.Sc Computer Science,NLP,Scala Java Python,3,Yes,Business Analyst,Lack of resources,Peer groups,11,17,19,10,18,9,19,12,Decision-Making Flexibility Innovation,4,129,Data Scientist
3rd,M.Sc Data Science,Blockchain Development,Python R SQL,2,No,Business Analyst,Lack of resources,Internships,11,8,18,16,19,18,15,11,Decision-Making Flexibility Innovation,4,128,Data Scientist
1st,B.Tech IT,Mobile App Development,MATLAB Python C,1,No,Business Analyst,Time management,Workshops,8,10,5,18,19,16,17,17,Collaboration Empathy Teamwork,5,122,Cybersecurity Analyst
4th,B.Sc Computer Science,Computer Vision,Python Go Rust,5,No,Cybersecurity Analyst,Procrastination,Workshops,18,16,9,17,20,10,16,12,Emotional Intelligence Active Listening,1,130,Cloud Architect
2nd,MBA,Cloud Infrastructure,Python Go Rust,5,Yes,Data Scientist,Interview anxiety,Online resources,10,9,12,18,17,10,10,16,Leadership Creativity Critical-Thinking,1,114,Software Engineer
4th,M.Sc Data Science,Network Security,Julia Python R,2,Yes,Data Scientist,Lack of resources,Workshops,20,8,5,18,16,8,17,16,Leadership Creativity Critical-Thinking,5,122,Software Engineer
2nd,B.Sc Computer Science,Cloud Security,C# .NET SQL,1,No,Software Engineer,Lack of resources,Peer groups,16,15,12,20,10,11,18,10,Emotional Intelligence Active Listening,1,116,Cybersecurity Analyst
4th,B.Tech IT,Embedded Systems,MATLAB Python C,4,No,Data Scientist,Procrastination,Workshops,8,14,18,12,16,11,19,19,Emotional Intelligence Active Listening,2,129,Cloud Architect
4th,B.Sc Computer Science,AI Fundamentals,JavaScript TypeScript Python,3,Yes,Software Engineer,Team collaboration,Internships,13,6,18,13,16,19,19,5,Collaboration Empathy Teamwork,3,121,Software Engineer
2nd,B.Tech CSE,AI Fundamentals,Scala Java Python,1,Yes,Cybersecurity Analyst,Lack of resources,Internships,11,9,17,17,12,10,15,12,Time-Management Resilience Negotiation,3,111,Software Engineer
4th,MCA,Computer Vision,MATLAB Python C,3,No,Cloud Architect,Procrastination,Internships,13,12,11,13,18,16,16,19,Strategic Thinking Analytical Skills,1,126,Cloud Architect
2nd,B.Sc Computer Science,Full Stack Development,Java Kotlin Swift,1,No,Data Scientist,Time management,Peer groups,20,14,17,12,18,11,20,12,Communication Adaptability Problem-Solving,4,134,Data Scientist
1st,B.Tech CSE,Mobile App Development,PHP JavaScript MySQL,4,Yes,Business Analyst,Interview anxiety,Workshops,11,18,8,17,20,17,18,8,Strategic Thinking Analytical Skills,4,133,Data Scientist
1st,MBA,Business Intelligence,Python Java C++,1,No,Data Scientist,Presentation skills,Peer groups,18,5,12,17,18,10,20,16,Conflict Resolution Team Leadership,5,128,Data Scientist
2nd,B.Sc Computer Science,Computer Vision,JavaScript TypeScript Python,5,No,Cloud Architect,Procrastination,Internships,20,6,15,20,14,10,13,14,Emotional Intelligence Active Listening,4,130,AI Engineer
3rd,B.Tech IT,Cloud Infrastructure,PHP JavaScript MySQL,4,No,Business Analyst,Presentation skills,Peer groups,14,8,13,18,13,11,11,15,Leadership Creativity Critical-Thinking,5,121,Cybersecurity Analyst
3rd,B.Tech IT,Blockchain Development,Python Java C++,3,No,Cybersecurity Analyst,Procrastination,Peer groups,9,11,15,19,10,8,11,13,Time-Management Resilience Negotiation,5,112,Cybersecurity Analyst
4th,MBA,Embedded Systems,Python Go Rust,1,Yes,Data Scientist,Interview anxiety,Peer groups,9,19,5,13,9,15,13,20,Presentation Skills Public Speaking,3,111,Cybersecurity Analyst
4th,M.Sc Data Science,Embedded Systems,Python Java C++,2,Yes,Business Analyst,Lack of resources,Online resources,14,9,5,14,13,10,13,15,Leadership Creativity Critical-Thinking,1,99,Business Analyst
4th,MBA,Data Engineering,Python Go Rust,4,Yes,AI Engineer,Time management,Online resources,15,15,16,15,17,15,15,13,Time-Management Resilience Negotiation,4,137,AI Engineer
4th,MCA,Cloud Infrastructure,Python Go Rust,1,Yes,Cybersecurity Analyst,Procrastination,Workshops,13,9,11,16,16,17,10,6,Emotional Intelligence Active Listening,3,106,Software Engineer
2nd,B.Sc Computer Science,NLP,R SAS Python,1,Yes,Business Analyst,Interview anxiety,Online resources,17,17,20,19,16,19,16,19,Collaboration Empathy Teamwork,5,155,Cloud Architect
1st,B.Sc Computer Science,NLP,R SAS Python,5,Yes,AI Engineer,Interview anxiety,Mentorship programs,13,5,14,19,18,8,20,16,Conflict Resolution Team Leadership,2,127,Cloud Architect
2nd,MBA,DevOps,Julia Python R,3,Yes,Business Analyst,Time management,Internships,10,11,9,17,11,14,16,7,Presentation Skills Public Speaking,3,107,Cybersecurity Analyst
4th,M.Sc Data Science,Full Stack Development,PHP JavaScript MySQL,1,Yes,Cloud Architect,Interview anxiety,Online resources,19,12,12,13,19,9,15,17,Conflict Resolution Team Leadership,3,124,Cybersecurity Analyst
2nd,M.Sc Data Science,NLP,PHP JavaScript MySQL,1,No,Software Engineer,Team collaboration,Workshops,12,11,14,20,14,12,13,12,Decision-Making Flexibility Innovation,3,116,Cybersecurity Analyst
1st,B.Tech CSE,Full Stack Development,Python Java C++,2,Yes,Software Engineer,Interview anxiety,Online resources,15,5,8,19,12,15,17,7,Presentation Skills Public Speaking,3,108,Software Engineer
1st,B.Tech IT,Cloud Security,MATLAB Python C,4,No,Data Scientist,Interview anxiety,Workshops,9,5,19,19,8,16,12,18,Conflict Resolution Team Leadership,5,124,Software Engineer
2nd,M.Sc Data Science,Full Stack Development,R SAS Python,1,No,Cloud Architect,Lack of resources,Online resources,13,20,11,15,18,19,13,16,Decision-Making Flexibility Innovation,4,135,AI Engineer
1st,B.Tech IT,DevOps,C# .NET SQL,3,Yes,Cloud Architect,Procrastination,Internships,17,19,8,11,18,16,14,15,Emotional Intelligence Active Listening,4,132,Data Scientist
1st,B.Tech IT,Deep Learning,Scala Java Python,4,Yes,Software Engineer,Time management,Workshops,11,14,16,20,9,19,13,7,Time-Management Resilience Negotiation,2,121,Cybersecurity Analyst
4th,B.Tech IT,Cloud Infrastructure,MATLAB Python C,1,Yes,Software Engineer,Team collaboration,Workshops,18,15,11,18,11,10,12,7,Conflict Resolution Team Leadership,2,108,Software Engineer
2nd,MCA,Embedded Systems,JavaScript TypeScript Python,3,Yes,Cybersecurity Analyst,Lack of resources,Internships,12,18,19,10,20,20,10,14,Leadership Creativity Critical-Thinking,3,135,AI Engineer
2nd,M.Sc Data Science,NLP,Scala Java Python,3,Yes,AI Engineer,Procrastination,Workshops,8,12,20,17,18,18,12,5,Communication Adaptability Problem-Solving,1,118,Software Engineer
1st,B.Tech IT,Network Security,JavaScript TypeScript Python,3,Yes,Data Scientist,Team collaboration,Mentorship programs,16,10,8,19,16,20,12,11,Emotional Intelligence Active Listening,5,128,Cloud Architect
4th,B.Tech IT,Cloud Security,Julia Python R,5,Yes,AI Engineer,Presentation skills,Mentorship programs,9,19,18,16,15,14,16,17,Presentation Skills Public Speaking,2,138,AI Engineer
1st,B.Sc Computer Science,Network Security,Python Go Rust,1,No,Cybersecurity Analyst,Procrastination,Workshops,8,12,11,19,13,19,17,18,Conflict Resolution Team Leadership,4,127,Cloud Architect
